CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
20,18.0,Male,Month-to-month,20.0,294.2446588495466,No,DSL,13,No,Mailed check,No
21,61.0,Female,Month-to-month,46.17358108708494,146.70525071627594,Yes,No,1,No,Bank transfer,Yes
22,36.0,Male,Month-to-month,20.0,393.2801549503016,No,Fiber optic,22,Yes,Mailed check,No
23,41.0,Female,Month-to-month,101.11502011787505,2460.043436030514,No,Fiber optic,24,Yes,Bank transfer,No
24,18.0,Male,Month-to-month,78.04432320429605,4993.867208150975,Yes,DSL,64,No,Electronic check,Yes
25,31.0,Male,Month-to-month,20.0,746.6883484676725,Yes,DSL,41,Yes,Credit card,No
26,41.0,Female,Month-to-month,22.139473232240633,492.592173304054,No,Fiber optic,22,Yes,Credit card,No
27,22.0,Male,Month-to-month,107.20421479260517,6567.894592395669,No,Unknown,61,No,Bank transfer,No
28,45.0,Female,Month-to-month,75.79477167096493,1008.0457372369431,No,No,12,Yes,Mailed check,No
29,30.0,Male,One year,113.0089403317167,426.81138542768105,No,Fiber optic,4,Yes,Bank transfer,No
30,35.0,Male,One year,103.5703230505865,1266.5646582570491,No,Unknown,12,Yes,Credit card,No
31,30.0,Male,Two year,35.484378880802204,1186.3268150308154,No,DSL,33,Yes,Mailed check,No
32,67.0,Male,Month-to-month,96.45904197005666,2016.9409108073837,Yes,DSL,21,No,Bank transfer,No
33,39.0,Male,Month-to-month,86.88553198290131,6250.746367119608,Yes,DSL,72,Yes,Credit card,No
34,24.0,Female,Month-to-month,20.0,1477.3249483191103,Yes,DSL,72,Yes,Bank transfer,No
35,52.0,Female,Month-to-month,29.140650123143907,1510.28281899112,No,Fiber optic,52,No,Electronic check,No
36,21.0,Male,One year,143.1301146528407,6715.3536015234295,Yes,Fiber optic,47,Yes,Mailed check,Yes
37,43.0,Male,Month-to-month,42.170792861987834,2462.7457204296506,No,Fiber optic,59,Yes,Mailed check,No
38,21.0,Female,Month-to-month,82.34563348999305,3795.1695926088278,No,DSL,47,Yes,Electronic check,No
39,20.0,Female,Month-to-month,64.28047755436334,3646.393689299862,No,DSL,56,Yes,Credit card,No
40,42.0,Male,Two year,75.51171855633014,955.7966249119802,No,DSL,13,Yes,Bank transfer,No
41,51.0,Male,Two year,66.26505795681243,2977.3136616168435,Yes,Fiber optic,44,Yes,Credit card,No
42,42.0,Female,Month-to-month,98.95561878829545,3526.4962616288362,No,DSL,35,Yes,Mailed check,No
43,38.0,Male,Month-to-month,98.16972533058774,2966.832225560494,Yes,No,29,Yes,Credit card,Yes
44,35.0,Female,One year,73.53773702722836,4140.340290090587,No,Fiber optic,56,No,Mailed check,Yes
45,19.0,Male,Two year,42.865808691909336,242.34388678277352,No,No,5,Yes,Mailed check,No
46,29.0,Female,Month-to-month,52.93633477153563,3577.341565813886,No,DSL,67,Yes,Electronic check,No
47,33.0,Female,Month-to-month,22.722409095870695,1217.2961485192611,No,No,53,Yes,Electronic check,No
48,55.0,Male,Two year,59.96712094721418,3657.028603780737,No,Fiber optic,60,Yes,Mailed check,No
49,45.0,Female,One year,20.0,115.8710619234246,Yes,DSL,6,Yes,Bank transfer,No
50,21.0,Male,Month-to-month,76.56541599137219,3702.748990114185,No,DSL,48,Yes,Bank transfer,No
51,44.0,Male,Month-to-month,78.87994685973509,2755.3700197769317,No,No,35,No,Electronic check,No
52,34.0,Male,Two year,100.1575588495579,1737.2773616592613,Yes,DSL,18,Yes,Bank transfer,No
53,29.0,Male,One year,33.39742620256506,404.5904066865701,Yes,DSL,11,Yes,Electronic check,No
54,49.0,Female,One year,35.43414096746373,1669.6499456948375,No,DSL,51,No,Mailed check,No
55,55.0,Male,One year,115.74104105568773,,No,DSL,23,Yes,Mailed check,No
56,53.0,Male,Month-to-month,28.938086111445017,1414.45591104159,No,DSL,47,No,Mailed check,No
57,27.0,Male,One year,131.53648657057022,7790.052290616262,No,Fiber optic,59,Yes,Electronic check,No
58,35.0,Male,Month-to-month,42.283086504379746,2370.6746445541653,No,Fiber optic,57,Yes,Bank transfer,No
59,44.0,Female,Two year,42.492751117592775,2456.9111882821976,No,Unknown,56,Yes,Mailed check,No
60,54.0,Male,Month-to-month,95.28429537141226,2663.406211157242,Yes,DSL,27,Yes,Credit card,No
61,32.0,Female,One year,86.4817458609319,3060.139841981035,Yes,DSL,35,Yes,Bank transfer,No
62,37.0,Female,Month-to-month,119.24610443783509,6651.275857363761,No,DSL,55,Yes,Bank transfer,No
63,23.0,Female,Month-to-month,20.0,285.9962223753639,No,Fiber optic,9,Yes,Electronic check,No
64,22.0,Male,Month-to-month,86.0090628341525,1516.0832451452345,No,DSL,18,Yes,Electronic check,No
65,52.0,Male,One year,68.62079337089557,2973.766865574495,No,Fiber optic,44,Yes,Bank transfer,No
66,60.0,Male,One year,37.698158366981225,828.8207047847088,Yes,DSL,21,Yes,Bank transfer,No
67,38.0,Male,One year,126.44418679003235,6923.829770666862,No,Fiber optic,56,Yes,Mailed check,Yes
68,55.0,Female,Month-to-month,77.06049396649271,3687.8273124070997,No,Fiber optic,48,Yes,Mailed check,No
69,45.0,Female,Month-to-month,68.11452677882275,35.16131669185751,Yes,DSL,1,Yes,Credit card,Yes
70,30.0,Male,Two year,83.62018676781551,2248.2890302933583,No,Fiber optic,27,Yes,Mailed check,No
71,45.0,Male,One year,20.0,838.6380479647755,No,Fiber optic,45,Yes,Bank transfer,Yes
72,63.0,Male,One year,48.81272885605381,3067.570464139935,No,Fiber optic,63,Yes,Electronic check,Yes
73,39.0,Male,One year,60.02136529387142,3511.5353273337464,No,No,58,Yes,Credit card,Yes
74,63.0,Male,One year,79.49205042382856,3265.9692102945337,Yes,DSL,40,No,Bank transfer,No
75,18.0,Male,Month-to-month,108.23903110134728,6842.490237158399,Yes,Fiber optic,63,Yes,Credit card,No
76,52.0,Male,One year,43.45236312402839,1562.463489164452,Yes,DSL,38,No,Credit card,No
77,41.0,Female,One year,36.60126041005916,1064.705305864998,No,DSL,29,Yes,Credit card,No
78,35.0,Female,One year,85.04279100260518,3472.6682973177863,No,DSL,40,Yes,Mailed check,No
79,41.0,Female,One year,65.92305968903419,1242.175966071508,No,DSL,19,Yes,Mailed check,No
80,19.0,Female,Month-to-month,20.0,1154.2714714204099,No,DSL,56,Yes,Electronic check,No
81,36.0,Male,Month-to-month,42.44873579851492,1928.3859099233355,Yes,Fiber optic,44,Yes,Bank transfer,Yes
82,45.0,Male,Month-to-month,64.54696039755764,4204.172758796082,No,Fiber optic,65,No,Credit card,No
83,62.0,Male,Month-to-month,65.3738947086576,867.8039419415876,No,Fiber optic,13,Yes,Mailed check,Yes
84,32.0,Male,One year,72.69574818499694,2210.354991354157,Yes,Fiber optic,30,Yes,Electronic check,No
85,27.0,Male,One year,30.990413198599704,1497.7450368200282,No,Fiber optic,49,Yes,Mailed check,No
86,,Female,Month-to-month,99.1043364516448,6233.353465762877,Yes,DSL,63,Yes,Electronic check,No
87,53.0,Male,Month-to-month,98.41235130933651,6943.378741184802,No,DSL,71,No,Bank transfer,No
88,44.0,Female,Two year,20.0,675.7400652121496,Yes,No,35,Yes,Credit card,No
89,32.0,Male,One year,61.52830025082295,717.3731777763231,No,Fiber optic,11,Yes,Electronic check,No
90,47.0,Female,Month-to-month,20.140877868556764,1013.8574320517703,Yes,DSL,49,Yes,Credit card,No
91,41.0,Male,One year,69.03304933715987,2704.655612154546,No,DSL,40,Yes,Bank transfer,Yes
92,54.0,Female,Month-to-month,24.856453236837467,474.4113849627023,No,DSL,21,Yes,Bank transfer,No
93,29.0,Male,Month-to-month,74.02223604709171,3449.907337313082,No,No,47,Yes,Mailed check,No
94,35.0,Male,Month-to-month,118.7990915120038,285.90228799942264,No,Fiber optic,3,No,Bank transfer,Yes
95,34.0,Male,Month-to-month,40.61622633386811,1231.2952530104765,No,Fiber optic,30,Yes,Credit card,No
96,18.0,Male,Month-to-month,44.96677196516778,2981.514034250591,Yes,No,67,Yes,Mailed check,No
97,44.0,Female,Two year,55.90445951701598,3491.878492946589,No,Fiber optic,62,Yes,Credit card,No
98,43.0,Male,One year,79.56046459688388,2994.5312319887043,Yes,Fiber optic,37,Yes,Mailed check,No
99,40.0,Female,Month-to-month,39.4286118662173,783.7784836762346,Yes,Fiber optic,22,Yes,Credit card,No
100,36.0,Male,Month-to-month,58.59366533634239,1785.1688208696833,No,Fiber optic,31,Yes,Bank transfer,No
101,18.0,Female,Month-to-month,49.9152926391952,2218.8310450476047,Yes,DSL,46,No,Electronic check,No
102,33.0,Male,One year,56.00417515790916,2428.3144235143873,No,Fiber optic,45,Yes,Bank transfer,No
103,34.0,Male,One year,79.91233967088334,1145.9992659885177,No,DSL,14,No,Credit card,No
104,27.0,Female,Month-to-month,86.53191488704661,,No,Fiber optic,12,No,Bank transfer,No
105,37.0,Male,Month-to-month,25.695980595520865,1590.5542385761958,Yes,DSL,63,Yes,Electronic check,No
106,46.0,Male,One year,79.79524292988924,2984.7034466806504,Yes,DSL,38,No,Credit card,Yes
107,68.0,Female,Month-to-month,150.0,6995.931629421447,No,No,47,Yes,Credit card,No
108,42.0,Male,Month-to-month,116.32675278036078,6290.470465528936,Yes,Fiber optic,54,Yes,Mailed check,No
109,43.0,Female,One year,50.744271427904614,2779.3369685625794,No,DSL,55,Yes,Mailed check,No
110,38.0,Male,Month-to-month,110.93565879287402,5280.1011206191015,Yes,No,48,No,Bank transfer,No
111,21.0,Female,Month-to-month,68.99265202828947,4988.345832309722,No,Fiber optic,72,No,Electronic check,Yes
112,39.0,Female,Month-to-month,83.78364156906069,1270.8832152310933,No,DSL,15,No,Electronic check,No
113,40.0,Female,Month-to-month,57.333562452532234,4022.1518735040922,No,DSL,71,No,Electronic check,No
114,76.0,Female,One year,61.925504927816206,967.0955708571427,Yes,Fiber optic,16,Yes,Electronic check,No
115,37.0,Male,Two year,48.075281470584514,2110.26832459054,Yes,DSL,43,No,Credit card,No
116,44.0,Male,One year,102.86315735549204,757.4613304107905,No,No,7,Yes,Bank transfer,No
117,39.0,Female,One year,79.32913641738143,3378.3436844010616,Yes,DSL,43,No,Credit card,No
118,22.0,Male,Month-to-month,79.55668145396739,2310.6621451720166,Yes,DSL,28,Yes,Bank transfer,Yes
119,57.0,Male,One year,106.55137437354523,7023.62699800931,Yes,DSL,66,No,Mailed check,No
120,51.0,Male,Two year,106.99519584595089,6459.135937365815,No,DSL,60,Yes,Electronic check,No
121,51.0,Female,Month-to-month,101.33494098105679,251.43905527239605,No,Fiber optic,3,Yes,Bank transfer,Yes
122,26.0,Male,Month-to-month,106.09492246336211,98.48343143893109,No,No,1,Yes,Credit card,No
123,61.0,Male,One year,116.88004269243277,3577.4982650563916,Yes,DSL,31,No,Credit card,No
124,18.0,Female,One year,41.00142578313796,2213.404364660492,Yes,DSL,56,Yes,Credit card,No
125,48.0,Male,Month-to-month,61.039658108652254,2805.702469041041,No,No,46,Yes,Credit card,No
126,72.0,Female,Month-to-month,91.26844998370157,2904.190830125588,Yes,DSL,32,Yes,Bank transfer,No
127,25.0,Female,One year,43.43411270063699,835.4165026806303,No,Fiber optic,18,Yes,Electronic check,Yes
128,31.0,Female,Month-to-month,59.10236786469313,3990.084835756315,No,DSL,68,No,Credit card,No
129,41.0,Male,One year,75.8325166343343,2667.5769878627307,Yes,DSL,35,Yes,Electronic check,No
130,32.0,Male,Month-to-month,63.0959339587134,1430.9153559715205,No,DSL,23,No,Mailed check,No
131,21.0,Female,Two year,71.9805624802959,887.0917028775423,No,DSL,13,Yes,Electronic check,No
132,41.0,Female,Month-to-month,35.63824834345279,539.2613846370111,No,Fiber optic,14,No,Mailed check,No
133,24.0,Female,Month-to-month,68.86735876948408,2517.3857217960626,No,DSL,37,Yes,Mailed check,No
134,47.0,Female,Month-to-month,74.02072198542535,348.39572653423795,No,DSL,5,Yes,Electronic check,No
135,26.0,Female,Month-to-month,118.45013102664092,2546.5376253829822,No,Fiber optic,22,Yes,Electronic check,No
136,63.0,Female,One year,61.94111677352494,1649.9226298146507,No,Fiber optic,28,Yes,Bank transfer,No
137,28.0,Male,Month-to-month,50.492086877334756,224.62775831599984,No,Fiber optic,4,Yes,Credit card,No
138,35.0,Female,Month-to-month,91.3883217835436,4564.4603380187455,No,DSL,50,Yes,Electronic check,No
139,52.0,Female,Month-to-month,20.0,625.9110830525701,No,DSL,29,Yes,Electronic check,No
140,21.0,Female,One year,60.479546336661386,2263.190434991499,Yes,Fiber optic,37,No,Mailed check,No
141,43.0,Male,One year,54.58859614862324,1848.353471816723,No,Fiber optic,35,No,Electronic check,No
142,59.0,Male,Month-to-month,77.82764970420114,1556.7135038932395,No,Fiber optic,20,No,Credit card,No
143,20.0,Male,One year,107.38678763021878,3756.7640334177436,No,DSL,35,No,Bank transfer,No
144,42.0,Male,One year,116.53843596704051,283.6287972746087,No,DSL,2,Yes,Credit card,Yes
145,43.0,Female,One year,77.40843058757036,4551.341493007359,No,No,58,Yes,Credit card,No
146,51.0,Male,Month-to-month,23.449488656677666,335.6394871196578,Yes,No,18,Yes,Bank transfer,No
147,21.0,Female,One year,54.57440180976408,3111.0977306544687,No,DSL,56,No,Electronic check,No
148,20.0,Female,Month-to-month,57.86349625172421,3751.472261699131,No,No,64,No,Electronic check,No
149,47.0,Female,Month-to-month,81.01646277406402,4172.268382464481,Yes,DSL,52,Yes,Mailed check,No
150,44.0,Female,Month-to-month,71.68739620481293,1574.8450202176211,No,No,22,Yes,Electronic check,No
151,43.0,Female,Month-to-month,49.351056164910155,2855.903700762251,Yes,Fiber optic,60,Yes,Mailed check,No
152,45.0,Female,Month-to-month,32.45054674250592,321.99158495628416,No,Fiber optic,10,Yes,Electronic check,No
153,29.0,Male,Two year,43.94269301070724,211.16540550764833,No,Fiber optic,6,Yes,Mailed check,No
154,43.0,Male,Month-to-month,42.839593493034,,No,DSL,6,Yes,Bank transfer,No
155,,Male,Month-to-month,118.64730980608186,3342.7893584653325,No,DSL,28,No,Electronic check,No
156,29.0,Male,Month-to-month,46.91024181080118,1965.5269202922407,No,Fiber optic,42,No,Electronic check,No
157,67.0,Male,Month-to-month,71.80408167148772,2953.7975764910957,No,DSL,41,Yes,Credit card,No
158,47.0,Female,Month-to-month,99.05324225042783,6200.8608290003995,No,Fiber optic,63,No,Mailed check,No
159,22.0,Male,Month-to-month,75.84694859297954,1612.2107244899,No,Fiber optic,22,No,Mailed check,No
160,49.0,Male,Month-to-month,37.41992077164299,1190.8946649438633,No,DSL,29,No,Credit card,No
161,25.0,Male,Month-to-month,99.55255083397861,7119.457236532263,No,Fiber optic,71,Yes,Electronic check,No
162,51.0,Female,Month-to-month,80.62561359110117,2747.8109984510957,No,DSL,34,Yes,Mailed check,No
163,57.0,Female,Month-to-month,20.0,29.29686426338101,Yes,DSL,2,Yes,Electronic check,No
164,27.0,Female,One year,107.3716430798284,2911.8049029077683,No,Fiber optic,26,Yes,Bank transfer,No
165,54.0,Male,One year,96.20139109310057,1911.5059781288935,Yes,Fiber optic,19,Yes,Mailed check,No
166,46.0,Male,One year,80.15501459290745,1588.8625684773644,No,DSL,20,Yes,Electronic check,No
167,52.0,Male,Month-to-month,119.04290457086633,3879.8848723878473,Yes,DSL,33,No,Bank transfer,Yes
168,68.0,Male,Month-to-month,95.51403110537676,384.67819980821275,No,Fiber optic,4,Yes,Electronic check,No
169,36.0,Male,Two year,103.83825426318631,3303.9222297368183,No,DSL,32,Yes,Electronic check,No
170,28.0,Female,Month-to-month,101.09204772155596,1873.3925799281026,No,No,19,Yes,Bank transfer,No
171,26.0,Male,Month-to-month,92.71131972232048,346.73320421231716,No,No,3,Yes,Mailed check,No
172,27.0,Female,Month-to-month,20.0,1246.218140187341,Yes,DSL,61,Yes,Credit card,No
173,38.0,Male,Month-to-month,20.0,739.6358924972136,Yes,No,38,Yes,Credit card,No
174,45.0,Female,Month-to-month,95.52521448528603,552.0968587630786,No,DSL,6,Yes,Bank transfer,No
175,44.0,Female,One year,106.9495221722539,5989.815404406277,Yes,Fiber optic,56,Yes,Electronic check,No
176,52.0,Female,Month-to-month,48.84479807294744,1929.4907219248075,No,DSL,40,Yes,Credit card,No
177,40.0,Female,Two year,36.58711468701963,2495.8869625964526,No,DSL,69,Yes,Bank transfer,No
178,61.0,Male,Month-to-month,77.87950410380544,3373.6280493191503,No,No,42,Yes,Credit card,Yes
179,36.0,Male,Month-to-month,26.43835729232132,7.2794351418876175,Yes,Fiber optic,2,Yes,Electronic check,No
180,80.0,Male,Two year,64.93306467628528,1707.5501354730998,No,Fiber optic,28,No,Bank transfer,No
181,49.0,Female,One year,59.34680579454197,1041.6117481422823,No,DSL,17,Yes,Mailed check,No
182,27.0,Male,Month-to-month,63.26629890995284,4484.462157461414,No,No,70,Yes,Bank transfer,No
183,23.0,Male,Month-to-month,126.53293053715902,8738.479651703257,Yes,DSL,69,Yes,Bank transfer,No
184,47.0,Male,One year,50.98025624617801,1907.6737053189777,No,Fiber optic,39,Yes,Credit card,Yes
185,36.0,Male,Month-to-month,71.60226081835327,494.4204750626659,Yes,DSL,7,No,Credit card,No
186,50.0,Female,Month-to-month,30.63531394692282,954.89450007928,No,No,32,Yes,Mailed check,No
187,47.0,Female,One year,98.2112211074736,459.7013075017539,No,DSL,4,No,Credit card,No
188,38.0,Male,Month-to-month,64.61243427679256,1314.605656318556,No,DSL,21,Yes,Credit card,No
189,27.0,Male,Month-to-month,105.34924735833295,3382.699432584703,Yes,Fiber optic,32,Yes,Credit card,Yes
190,18.0,Male,Month-to-month,20.0,309.899837635508,Yes,Fiber optic,14,No,Electronic check,No
191,33.0,Female,Month-to-month,68.25607056094834,4735.045277919988,No,DSL,70,No,Bank transfer,No
192,52.0,Female,One year,73.96382606969725,3372.5876964402705,No,Fiber optic,46,Yes,Credit card,No
193,43.0,Female,Month-to-month,97.34569833716475,1968.5781465086732,No,DSL,20,Yes,Electronic check,No
194,21.0,Male,One year,50.7400364430611,2782.7251485899205,No,Fiber optic,58,Yes,Bank transfer,No
195,42.0,Female,Month-to-month,93.60474443173479,4561.125728240746,No,Fiber optic,48,Yes,Mailed check,No
196,45.0,Female,Month-to-month,54.176934564142115,328.66931746297985,No,Fiber optic,7,No,Bank transfer,No
197,26.0,Female,Month-to-month,72.81271536712562,2914.720646239065,No,Fiber optic,40,Yes,Electronic check,No
198,42.0,Female,One year,97.65854671764927,5694.22194059864,No,DSL,59,Yes,Electronic check,Yes
199,40.0,Female,Two year,42.1069144202032,1581.7673418606232,No,No,36,Yes,Mailed check,No
200,22.0,Male,Month-to-month,92.21754012192676,4057.5976123538367,Yes,Fiber optic,44,Yes,Electronic check,No
201,45.0,Male,Month-to-month,80.04707715958071,2492.154307297783,Yes,DSL,31,Yes,Mailed check,Yes
202,48.0,Male,Month-to-month,59.9897760707819,2547.5396287913504,No,DSL,42,Yes,Mailed check,No
203,56.0,Male,One year,49.953802138920665,2252.460732958588,No,Fiber optic,44,Yes,Electronic check,No
204,55.0,Female,Month-to-month,20.0,804.0645836556545,No,Fiber optic,43,No,Electronic check,Yes
205,19.0,Male,One year,67.59202130923153,2892.9822171321325,Yes,DSL,43,Yes,Credit card,No
206,25.0,Male,Month-to-month,60.039949829972045,2885.0043489336113,Yes,No,47,No,Credit card,No
207,47.0,Male,Month-to-month,89.17395276056746,513.0879315139223,No,DSL,6,Yes,Mailed check,No
208,47.0,Female,Month-to-month,86.13993898147004,5753.581577355539,No,Fiber optic,66,No,Electronic check,No
209,47.0,Male,Month-to-month,102.1035191308421,929.2356720459277,No,Fiber optic,9,Yes,Credit card,No
210,97.0,Female,One year,103.20187852058211,1114.0220335635472,No,No,11,No,Credit card,No
211,48.0,Female,One year,150.0,2734.668574610429,Yes,DSL,18,Yes,Credit card,No
212,,Female,Month-to-month,85.40979906612351,2127.560221460609,No,Fiber optic,25,Yes,Credit card,Yes
213,54.0,Male,Month-to-month,44.18588231774366,2605.2902899326964,No,Fiber optic,58,Yes,Mailed check,No
214,49.0,Female,Month-to-month,94.7857896757084,2819.6234263608353,No,DSL,30,No,Bank transfer,No
215,35.0,Male,One year,118.17712169614842,161.01317841936563,Yes,No,1,Yes,Electronic check,No
216,51.0,Male,Month-to-month,84.24691973147175,5329.431706670883,No,Fiber optic,63,Yes,Electronic check,Yes
217,28.0,Male,Month-to-month,20.0,563.0698497901305,No,Fiber optic,29,No,Credit card,No
218,36.0,Female,Month-to-month,86.66080612008828,5628.460498045916,No,No,66,Yes,Mailed check,Yes
219,32.0,Female,Month-to-month,51.103844581854474,2732.4286670762167,No,Fiber optic,53,No,Bank transfer,No
220,41.0,Male,Month-to-month,30.342223597615835,630.2562055498662,No,Fiber optic,19,Yes,Bank transfer,No
221,74.0,Female,Month-to-month,75.60060319912287,4999.250507782662,No,DSL,66,Yes,Electronic check,No
222,21.0,Female,Month-to-month,24.225550521526316,1147.5003730407689,No,Fiber optic,52,Yes,Mailed check,No
223,50.0,Female,One year,100.69441312886967,3178.5103851117624,No,Fiber optic,31,Yes,Mailed check,No
224,20.0,Male,Month-to-month,91.92637502297427,5535.4839470745665,No,Fiber optic,60,No,Electronic check,Yes
225,32.0,Female,Month-to-month,67.39993179252659,4614.0836082092965,No,Fiber optic,68,Yes,Bank transfer,Yes
226,56.0,Female,One year,53.49765303377219,1600.9510876081838,No,Fiber optic,30,No,Mailed check,No
227,40.0,Male,Month-to-month,64.47702136828755,741.6037081114484,No,No,13,Yes,Credit card,No
228,23.0,Female,One year,39.672542571935566,624.113649221782,No,Fiber optic,15,Yes,Mailed check,No
229,29.0,Male,Month-to-month,67.68867123757693,1342.7989072725288,Yes,DSL,20,No,Electronic check,No
230,50.0,Female,Month-to-month,20.0,643.450874820842,No,Fiber optic,34,Yes,Electronic check,No
231,29.0,Female,Month-to-month,72.6612989028061,1540.3785248023075,Yes,Fiber optic,20,Yes,Credit card,No
232,43.0,Female,Month-to-month,73.42659824766767,3700.76196229314,No,Unknown,50,Yes,Bank transfer,No
233,40.0,Female,One year,95.35449004272225,2585.520571745011,Yes,No,27,Yes,Bank transfer,No
234,30.0,Female,Month-to-month,78.99434727980262,2326.6921314604488,Yes,DSL,30,Yes,Credit card,No
235,72.0,Female,Month-to-month,99.32004285614497,5512.5229639071595,No,Fiber optic,56,Yes,Mailed check,No
236,49.0,Male,Month-to-month,86.41093327157175,5641.80528515706,No,No,65,Yes,Electronic check,No
237,19.0,Female,Month-to-month,101.0957281121837,5460.511600699169,No,Fiber optic,55,Yes,Credit card,No
238,42.0,Female,Month-to-month,148.64275191977657,3594.9669136603316,Yes,Fiber optic,24,Yes,Electronic check,Yes
239,30.0,Female,Month-to-month,82.60051425845108,2095.635818768768,No,No,25,Yes,Electronic check,No
240,52.0,Male,Month-to-month,75.52072434302089,4071.3510493314902,No,Fiber optic,53,No,Credit card,No
241,28.0,Male,One year,105.61146763804467,1210.8203932456954,Yes,No,11,No,Bank transfer,No
242,38.0,Male,Month-to-month,55.95305491688913,3414.185359350844,No,Fiber optic,60,Yes,Bank transfer,No
243,47.0,Female,One year,66.42436702103748,3092.07201065042,Yes,Fiber optic,47,Yes,Credit card,Yes
244,52.0,Female,One year,82.62983854835709,1992.4639422931225,No,Fiber optic,25,Yes,Credit card,Yes
245,21.0,Male,Month-to-month,72.17245113185513,1813.0919637063184,No,DSL,25,Yes,Mailed check,No
246,34.0,Male,One year,72.03740322402663,1246.812034601712,No,No,17,Yes,Credit card,Yes
247,32.0,Male,One year,96.99337609978939,1214.4880262851298,No,No,12,Yes,Electronic check,No
248,30.0,Female,Month-to-month,20.0,1114.3365760166748,No,Fiber optic,52,Yes,Bank transfer,No
249,66.0,Male,Two year,131.00377235416715,1382.825912434046,No,DSL,11,Yes,Electronic check,No
250,46.0,Female,Month-to-month,84.57700053953684,888.6146378778151,No,DSL,10,Yes,Bank transfer,Yes
251,21.0,Female,Month-to-month,57.99216010557229,3367.333430980707,No,DSL,60,Yes,Electronic check,No
252,53.0,Female,One year,118.84158725046369,6431.207437095245,No,Fiber optic,54,Yes,Credit card,No
253,71.0,Male,Month-to-month,73.10602152111201,4640.674264373531,No,Fiber optic,63,Yes,Credit card,No
254,55.0,Female,Month-to-month,73.89695612788772,1401.6097563506166,No,No,20,No,Mailed check,Yes
255,20.0,Male,Month-to-month,63.55890151940108,348.991513672398,Yes,No,5,Yes,Bank transfer,No
256,32.0,Male,One year,114.0308099160266,4622.018156073888,No,DSL,41,Yes,Credit card,No
257,59.0,Male,One year,69.71947062496325,4372.631138031184,No,Fiber optic,63,Yes,Bank transfer,No
258,29.0,Male,Month-to-month,53.24752102417606,3024.845086359111,No,Fiber optic,56,Yes,Credit card,No
259,46.0,Female,Two year,99.96318906579553,3182.938048787951,No,DSL,32,Yes,Mailed check,No
260,51.0,Female,Month-to-month,105.48866127266096,2831.540137535153,No,No,27,Yes,Credit card,No
261,26.0,Female,Month-to-month,118.19824941016421,8053.451514005523,No,DSL,68,Yes,Credit card,Yes
262,39.0,Female,One year,89.00797126148902,4312.290068308901,No,No,48,No,Mailed check,No
263,20.0,Male,One year,104.3879948572945,730.6629562701817,Yes,Fiber optic,7,No,Electronic check,No
264,24.0,Male,Month-to-month,62.222404222051225,2941.3083071913984,Yes,Fiber optic,46,No,Bank transfer,No
265,36.0,Male,Month-to-month,100.7739825984492,1797.1506259727805,No,No,18,Yes,Electronic check,No
266,21.0,Male,One year,92.275678178016,3568.108317536661,No,Fiber optic,38,Yes,Electronic check,No
267,64.0,Female,Two year,85.91380806827979,5610.881872916648,No,No,65,Yes,Electronic check,No
268,18.0,Male,One year,23.28625717698911,429.4674883039408,No,Fiber optic,17,Yes,Bank transfer,No
